URL;image;title;description;inventoryNumber;dateOf;placeOfFinding;material;size;type;owner;bibliography;tags
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_772_ab;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_772_ab/v4_zkw_772_ab_l_001.jpg;M??czyzna w szlafroku nieznany malarz niemiecki (?);;ZKW/772/ab;1700-1710;;p?ótno;87,5 x 69 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz niemiecki (?),obraz,olej,p?ótno,1700-1710,Niemcy (?)
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/ikona/id/ZKW_5196;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_5196/v4_zkw_5196_l_001.jpg;Madonna z Dzieci?tkiem nieznany malarzMarcovaldo, Coppo di (ca 1225-ca 1276) wed?ug;;ZKW/5196;XIII w. (?);;deska;41,2 x 26,2 cm;ikona;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz,ikona,tempera,deska,XIII w. (?),W?ochy (?)
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/portret/id/ZKW_4920_ab;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_4920_ab/v4_zkw_4920_ab_l_001.jpg;Franciszek Gugenmus Wojniakowski, Kazimierz (1772-1812);;ZKW/4920/ab;1810;;p?ótno;63,5 x 50,5 cm;obraz, portret;Zamek Królewski w Warszawie – Muzeum;;Wojniakowski, Kazimierz (1772-1812),obraz,olej,p?ótno,1810,Warszawa (Polska)
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW-dep.FC_25;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW-dep.FC_25/v4_zkw_dep_fc_25_l_001.jpg;Jan IV Portugalski nieznany malarz;;ZKW-dep.FC/25;XVII w.;;p?ótno;224 x 147 cm;obraz;Fundacja Zbiorów im. Ciechanowieckich;;nieznany malarz,obraz,olej,p?ótno,XVII w.,Portugalia (?)
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_2484;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_2484/v4_zkw_2484_l_001.jpg;M??czyzna z Orderem ?wi?tego Stanis?awa nieznany malarz polski;;ZKW/2484;lata 80. XVIII w.;;p?ótno;63 x 50 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz polski,obraz,olej,p?ótno,lata 80. XVIII w.,Polska
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_2221;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_2221/v4_zkw_2221_l_001.jpg;Pejza? z pasterk? nieznany malarz niemiecki;;ZKW/2221;koniec XVIII w.;;p?ótno;84 x 130 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz niemiecki,obraz,olej,p?ótno,koniec XVIII w.,Niemcy
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_2486;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_2486/v4_zkw_2486_l_001.jpg;Widok Kampanii nieznany malarz niemiecki;;ZKW/2486;1 ?w. XVIII w.;;p?ótno;41,5 x 58,5 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz niemiecki,obraz,olej,p?ótno,1 ?w. XVIII w.,W?ochy
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/miniatura/id/ZKW_5342;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_5342/v4_zkw_5342_001.jpg;Stanis?aw August Kosi?ski, Józef (1753-1821) (?);;ZKW/5342;ok. 1790;;ko??;1,8 x 1,5 cm (miniatura);miniatura;Zamek Królewski w Warszawie – Muzeum;;Kosi?ski, Józef (1753-1821) (?),miniatura,gwasz,ko??,ok. 1790,Warszawa
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_303_ab;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_303_ab/v4_zkw_303_ab_l_001.jpg;Fryderyk Krystian Ceccarini, Sebastiano (1703-1783) (?);;ZKW/303/ab;1739;;p?ótno;93 x 70 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;Ceccarini, Sebastiano (1703-1783) (?),obraz,olej,p?ótno,1739,W?ochy
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_1537;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_1537/v4_zkw_1537_l_001.jpg;J?drzej ?niadecki Rustem, Jan (1762-1835);;ZKW/1537;ok. 1815;;p?ótno;86,5 x 73,5 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;Rustem, Jan (1762-1835),obraz,olej,p?ótno,ok. 1815,Polska
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_856;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_856/v4_zkw_856_l_001.jpg;Krajobraz w?oski nieznany malarz austriacki;;ZKW/856;2. po?. XVIII w.;;p?ótno;23,7 x 35,2 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz austriacki,obraz,olej,p?ótno,2. po?. XVIII w.,W?ochy
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_1349;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_1349/v4_zkw_1349_l_001.jpg;Kazimiera Wil?yna Wojniakowski, Kazimierz (1772-1812);;ZKW/1349;1798;;p?ótno;65,5 x 52 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;Wojniakowski, Kazimierz (1772-1812),obraz,olej,p?ótno,1798,Polska
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_306_ab;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_306_ab/v4_zkw_306_ab_l_001.jpg;Muzyk (Niccolo Piccini ?) Albertrandi, Antoni (1732-1795);;ZKW/306/ab;1760;;p?ótno;93 x 75 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;Albertrandi, Antoni (1732-1795),obraz,olej,p?ótno,1760,Warszawa (Polska)
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_854;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_854/v4_zkw_854_l_001.jpg;Jerzy I Kneller, Godfrey (1646-1723) pracownia;;ZKW/854;po 1715;;p?ótno;194 x 149 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;Kneller, Godfrey (1646-1723) pracownia,obraz,olej,p?ótno,po 1715,Wielka Brytania
https://kolekcja.zamek-krolewski.pl/obiekt/kolekcja/Malarstwo/rodzaj/obraz/id/ZKW_275_ab;https://kolekcja.zamek-krolewski.pl/__data/digi_images/ZKW_275_ab/v4_zkw_275_ab_l_001.jpg;August II nieznany malarz saski;;ZKW/275/ab;ok. 1750;;p?ótno;163 x 108 cm;obraz;Zamek Królewski w Warszawie – Muzeum;;nieznany malarz saski,obraz,olej,p?ótno,ok. 1750,Saksonia (Niemcy)
